Order ID,Order Amount (INR),Delivery Time (mins),Order Date,Rating,Number of Items,Delivery Distance (km),Delivery Agent ID,Order Status,Payment Method,Tip Amount (INR),Promo Code Applied,Has Free Delivery,res_id,name,type,address,city,locality,latitude,longitude,cuisines,timings,average_cost_for_two,price_range,highlights,aggregate_rating,votes,photo_count,opentable_support,delivery,state,area,Month,Year,Day,Quarter,Is_Delivered,Is_Cancelled,Has_Promo,Free_Delivery,Completed_Revenue
12,2995,81,2023-08-19,3.2,1,9.182838853364894,607,In-Transit,Net Banking,67,Yes,No,901108,Jhivras Restaurant,Casual Dining,"Eechamukku TV Centre, Seaport - Airport Road, CSEZ, Kakkanad, Kochi",Kochi,Kakkanad,10.0116627,76.34190068,"South Indian, North Indian",7 AM to 10:30 PM (Mon-Sun),400,1,"['Cash', 'Delivery', 'No Alcohol Available', 'Dinner', 'Credit Card', 'Takeaway Available', 'Breakfast', 'Lunch', 'Indoor Seating', 'Pure Veg', 'Air Conditioned']",3.8,77,35,0.0,0,Kerala,38863,August,2023,Saturday,3,0,0,1,0,0
13,2015,78,2024-04-02,2.2,2,8.622867664530043,503,In-Transit,Debit Card,93,Yes,Yes,3001424,Sree Annapoorna Sree  GowriShankar,Dessert Parlour,"418, Annapoorna Annex, Mettupalayam Road, Tatabad, Sivanadha Colony, Coimbatore",Coimbatore,Sivanadha Colony,11.018914,76.953549,Desserts,7am – 10:30pm (Mon-Sun),200,1,"['Cash', 'Takeaway Available', 'Debit Card', 'Credit Card', 'No Alcohol Available', 'No Seating Available', 'Desserts and Bakes', 'Pure Veg']",3.6,31,7,0.0,1,Tamil Nadu,130058,April,2024,Tuesday,2,0,0,1,1,0
14,1108,46,2024-04-17,4.9,8,12.2011335847032,469,Cancelled,Credit Card,137,Yes,No,309061,Barbeque Destination,Casual Dining,"Plot 7, IHDP Business Park, Sector 127, Noida",Noida,Sector 127,28.53427041,77.34706152,"North Indian, Mughlai, Chinese",11 AM to 11 PM (Mon-Sun),900,2,"['Cash', 'Debit Card', 'Takeaway Available', 'No Alcohol Available', 'Dinner', 'Credit Card', 'Delivery', 'Lunch', 'Indoor Seating', 'Wifi', 'Outdoor Seating', 'Air Conditioned', 'Buffet', 'Table booking recommended']",3.5,293,185,0.0,1,Uttar Pradesh,240928,April,2024,Wednesday,2,0,1,1,0,0
15,1126,84,2024-08-22,1.9,8,2.762601421184938,318,Delivered,Credit Card,164,Yes,No,19074335,Sky Train Restaurant,Club,c-1/13sec pt deen dayal upadhya puram sikandra agra   ,Agra,Sikandra,27.20446327,77.95464154,Street Food,10 AM to 11 PM,200,1,"['Cash', 'DJ', 'Indoor Seating', 'Live Music']",3.2,4,3,0.0,1,Uttar Pradesh,240928,August,2024,Thursday,3,1,0,1,0,1126
16,2819,30,2023-09-11,2.4,1,12.02225922828079,286,Cancelled,UPI,190,No,No,18888567,UP93 Restro And Lounge,Casual Dining,"CP Palace, Shivaji Nagar, Jhansi",Jhansi,Shivaji Nagar,25.44993087,78.59642308,Fast Food,12 Noon to 10 PM,400,2,"['Cash', 'Takeaway Available', 'Credit Card', 'Debit Card', 'Live Music', 'Air Conditioned', 'Wifi', 'Pure Veg', 'Buffet', 'Indoor Seating']",3.7,53,15,0.0,0,Uttar Pradesh,240928,September,2023,Monday,3,0,1,0,0,0
17,610,57,2023-01-09,1.1,5,6.450815397250646,755,Delivered,Cash,188,Yes,Yes,18734180,Cream Bell Scoopers,Dessert Parlour,"Besides Archies, Abu Lane",Meerut,Sadar Bazaar,28.99599347,77.70307213,Desserts,11:30 AM to 11:30 PM,250,1,"['Cash', 'Credit Card', 'Takeaway Available', 'Debit Card', 'Indoor Seating', 'Desserts and Bakes']",3.6,25,6,0.0,0,Uttar Pradesh,240928,January,2023,Monday,1,1,0,1,1,610
18,2661,29,2023-09-30,2.4,1,13.09625159207553,972,In-Transit,Cash,78,No,Yes,68713,Blueberry Pastries,Bakery,"164/12, Mangalam Colony, Anna Nagar East, Chennai",Chennai,Anna Nagar East,13.0826944,80.19900307,Bakery,10 AM to 10:30 PM,150,1,"['Debit Card', 'Credit Card', 'Takeaway Available', 'No Alcohol Available', 'Delivery', 'Cash', 'Indoor Seating', 'Pre-Ordering Required', 'Desserts and Bakes', 'Digital Payments Accepted', 'Air Conditioned']",3.4,30,164,0.0,0,Tamil Nadu,130058,September,2023,Saturday,3,0,0,0,1,0
19,534,80,2023-05-05,1.2,3,2.932494886266045,914,Cancelled,UPI,187,No,Yes,71158,Sankranti,Casual Dining,"A36, Block A, 6th Street, Anna Nagar East, Chennai",Chennai,Anna Nagar East,13.0837182,80.21974493,"Andhra, North Indian, Chinese","12 Noon to 3:30 PM, 7 PM to 10:30 PM",700,2,"['Dinner', 'Cash', 'Takeaway Available', 'Debit Card', 'Lunch', 'Delivery', 'Credit Card', 'Indoor Seating', 'Air Conditioned']",3.8,324,297,0.0,1,Tamil Nadu,130058,May,2023,Friday,2,0,1,0,1,0
19,534,80,2023-05-05,1.2,3,2.932494886266045,914,Cancelled,UPI,187,No,Yes,71158,Sankranti,Casual Dining,"A36, Block A, 6th Street, Anna Nagar East, Chennai",Chennai,Anna Nagar East,13.0837182,80.21974493,"Andhra, North Indian, Chinese","12 Noon to 3:30 PM, 7 PM to 10:30 PM",700,2,"['Dinner', 'Cash', 'Takeaway Available', 'Debit Card', 'Lunch', 'Delivery', 'Credit Card', 'Indoor Seating', 'Air Conditioned']",3.8,324,297,0.0,0,Tamil Nadu,130058,May,2023,Friday,2,0,1,0,1,0
20,1085,57,2024-07-10,4.0,8,14.59240863884588,476,Delivered,Cash,179,Yes,Yes,2500271,Indrali Hotel,Casual Dining,"Indraprastha Building, Aurangpura Road, Near Shahgunj, Aurangabad",Aurangabad,Shahgunj,19.88478889,75.32800278,North Indian,9 AM to 11 PM (Mon-Sun),500,2,"['Lunch', 'Breakfast', 'Dinner', 'Indoor Seating', 'Pure Veg']",3.4,12,5,0.0,0,Maharashtra,307713,July,2024,Wednesday,3,1,0,1,1,1085
20,1085,57,2024-07-10,4.0,8,14.59240863884588,476,Delivered,Cash,179,Yes,Yes,2500271,Indrali Hotel,Casual Dining,"Indraprastha Building, Aurangpura Road, Near Shahgunj, Aurangabad",Aurangabad,Shahgunj,19.88478889,75.32800278,North Indian,9 AM to 11 PM (Mon-Sun),500,2,"['Lunch', 'Breakfast', 'Dinner', 'Indoor Seating', 'Pure Veg']",3.4,12,5,0.0,0,Bihar,94163,July,2024,Wednesday,3,1,0,1,1,1085
21,801,53,2024-02-18,1.1,8,11.11445815121911,431,In-Transit,Credit Card,85,Yes,Yes,19047659,Banshira Dhaba,Bhojanalya,"Commercial complex, SDA complex, Kasumpti, Shimla",Shimla,Kasumpti,31.10148898,77.17596442,"North Indian, Modern Indian",10:30 AM to 9:30 PM,200,1,"['Delivery', 'Cash', 'Dinner', 'Takeaway Available', 'Lunch', 'Outdoor Seating', 'Pure Veg']",0.0,1,0,0.0,0,Himachal Pradesh,55673,February,2024,Sunday,1,0,0,1,1,0
22,1165,41,2023-10-16,3.1,9,2.088825511330622,813,In-Transit,Net Banking,19,No,No,18553579,Tasty Sandwich & Pizza Corner,Kiosk,"Aarey Energy Centre 134, Keluskar Marg, Opposite Balmohan High School, Shivaji Park, Dadar West, Mumbai",Mumbai,Dadar West,19.02892654,72.83838551,"Sandwich, Fast Food","12 Noon to 10 PM (Mon-Sat), Sun Closed",300,1,"['Cash', 'Takeaway Available', 'No Seating Available', 'Dinner', 'Delivery', 'Lunch', 'Pure Veg']",3.7,35,20,0.0,1,Maharashtra,307713,October,2023,Monday,4,0,0,0,0,0
22,1165,41,2023-10-16,3.1,9,2.088825511330622,813,In-Transit,Net Banking,19,No,No,18553579,Tasty Sandwich & Pizza Corner,Kiosk,"Aarey Energy Centre 134, Keluskar Marg, Opposite Balmohan High School, Shivaji Park, Dadar West, Mumbai",Mumbai,Dadar West,19.02892654,72.83838551,"Sandwich, Fast Food","12 Noon to 10 PM (Mon-Sat), Sun Closed",300,1,"['Cash', 'Takeaway Available', 'No Seating Available', 'Dinner', 'Delivery', 'Lunch', 'Pure Veg']",3.7,35,20,0.0,0,Maharashtra,307713,October,2023,Monday,4,0,0,0,0,0
23,1021,84,2023-10-26,2.7,1,7.484781903162401,394,Delivered,Credit Card,133,Yes,Yes,18805851,Bengali Sweet House,Sweet Shop,"Beside Royal Enfield Showroom, Near Polytechnic Golambar, Patliputra Colony, Patna",Patna,Patliputra Colony,25.62763999,85.10851979,"Desserts, Fast Food, Pizza, North Indian, Bakery",8 AM to 9:30 PM,150,1,"['Cash', 'Takeaway Available', 'Delivery']",3.0,75,9,0.0,0,Bihar,94163,October,2023,Thursday,4,1,0,1,1,1021
24,2137,35,2024-06-24,4.4,9,5.799829895445743,148,In-Transit,Net Banking,98,No,No,18264354,Wawa Fastorant,Quick Bites,"D-81, Bhakti Nagar, IOC Road, Chandkheda, Ahmedabad",Ahmedabad,Chandkheda,23.11166546,72.57382113,"Fast Food, Bakery",8:30 AM to 11 PM,250,1,"['No Alcohol Available', 'Cash', 'Takeaway Available', 'Credit Card', 'Debit Card', 'Delivery', 'Breakfast', 'Free Parking', 'Digital Payments Accepted', 'Indoor Seating', 'Air Conditioned', 'Pure Veg']",2.6,28,14,0.0,0,Gujarat,196024,June,2024,Monday,2,0,0,0,0,0
25,1627,50,2023-11-12,3.1,3,4.301519665900621,354,Cancelled,Debit Card,104,No,Yes,18869730,The Groove's Cafe,Quick Bites,"Passey Road, Charan Bagh, Model Town, Patiala",Patiala,Model Town,30.34711401,76.3939362,"Cafe, Wraps, Fast Food, Pizza",11 AM to 10:30 PM,150,1,"['Cash', 'Takeaway Available', 'Delivery', 'Indoor Seating', 'Digital Payments Accepted', 'Air Conditioned']",3.5,33,3,0.0,0,Punjab,50362,November,2023,Sunday,4,0,1,0,1,0
26,2298,56,2023-04-14,1.1,9,8.285385606655323,503,Cancelled,UPI,59,Yes,No,18694766,Amutham Jigarthanda,Beverage Shop,"128, West Masi Street, Madurai, Southern Railway Colony, Madurai",Madurai,Southern Railway Colony,9.917080817,78.1155533,"Ice Cream, Juices",9:30 AM to 10 PM,100,1,"['No Seating Available', 'Cash', 'Takeaway Available', 'No Alcohol Available']",3.4,12,0,0.0,0,Tamil Nadu,130058,April,2023,Friday,2,0,1,1,0,0
27,2516,61,2023-08-20,1.4,9,1.827588359676852,565,In-Transit,UPI,148,No,No,18695650,Bonfire,Quick Bites,"PPR Market, Cheema Nagar, Mithapur Road, Urban Estate, Jalandhar",Jalandhar,PPR Market,31.29782992,75.58178846,"North Indian, Chinese","12noon – 11pm (Mon, Tue, Thu, Fri, Sat, Sun), 12noon – 10:45pm (Wed)",600,2,"['Delivery', 'Cash', 'Lunch', 'Takeaway Available', 'No Alcohol Available', 'Dinner', 'Outdoor Seating', 'Digital Payments Accepted']",4.0,282,6,0.0,1,Punjab,50362,August,2023,Sunday,3,0,0,0,0,0
27,2516,61,2023-08-20,1.4,9,1.827588359676852,565,In-Transit,UPI,148,No,No,18695650,Bonfire,Quick Bites,"PPR Market, Cheema Nagar, Mithapur Road, Urban Estate, Jalandhar",Jalandhar,PPR Market,31.29782992,75.58178846,"North Indian, Chinese","12noon – 11pm (Mon, Tue, Thu, Fri, Sat, Sun), 12noon – 10:45pm (Wed)",600,2,"['Delivery', 'Cash', 'Lunch', 'Takeaway Available', 'No Alcohol Available', 'Dinner', 'Outdoor Seating', 'Digital Payments Accepted']",4.0,282,6,0.0,0,Punjab,50362,August,2023,Sunday,3,0,0,0,0,0
28,1256,43,2023-09-13,4.6,7,12.02722683466985,537,In-Transit,Net Banking,159,Yes,Yes,18903444,Palsaniya Baker'z & Confectionery,Confectionery,"Shop 1, Rizvi Mansion Lady, Jamshedji Road, Mahim, Mumbai",Mumbai,Mahim,19.03948111,72.84161188,"Mithai, Fast Food",10am – 11:30pm (Mon-Sun),300,1,"['Cash', 'Takeaway Available', 'Debit Card', 'Delivery', 'Credit Card']",3.5,46,130,0.0,1,Maharashtra,307713,September,2023,Wednesday,3,0,0,1,1,0
28,1256,43,2023-09-13,4.6,7,12.02722683466985,537,In-Transit,Net Banking,159,Yes,Yes,18903444,Palsaniya Baker'z & Confectionery,Confectionery,"Shop 1, Rizvi Mansion Lady, Jamshedji Road, Mahim, Mumbai",Mumbai,Mahim,19.03948111,72.84161188,"Mithai, Fast Food",10am – 11:30pm (Mon-Sun),300,1,"['Cash', 'Takeaway Available', 'Debit Card', 'Delivery', 'Credit Card']",3.5,46,130,0.0,0,Maharashtra,307713,September,2023,Wednesday,3,0,0,1,1,0
29,761,53,2024-04-08,3.7,7,12.09328282566574,208,In-Transit,Credit Card,171,Yes,No,18605484,Cocoamaya,Bakery,"Shivani Dongre Industrial Premises, Andheri Kurla Road, Sakinaka, Mumbai Near Sakinaka Metro Station",Mumbai,Sakinaka,19.1055545,72.88409505,"Bakery, Desserts","11 AM to 11 PM (Mon-Sat),11 AM to 10 PM (Sun)",400,1,"['Credit Card', 'Delivery', 'Debit Card', 'Cash', 'Takeaway Available', 'Desserts and Bakes', 'Free Parking', 'Indoor Seating']",4.3,257,562,0.0,1,Maharashtra,307713,April,2024,Monday,2,0,0,1,0,0
29,761,53,2024-04-08,3.7,7,12.09328282566574,208,In-Transit,Credit Card,171,Yes,No,18605484,Cocoamaya,Bakery,"Shivani Dongre Industrial Premises, Andheri Kurla Road, Sakinaka, Mumbai Near Sakinaka Metro Station",Mumbai,Sakinaka,19.1055545,72.88409505,"Bakery, Desserts","11 AM to 11 PM (Mon-Sat),11 AM to 10 PM (Sun)",400,1,"['Credit Card', 'Delivery', 'Debit Card', 'Cash', 'Takeaway Available', 'Desserts and Bakes', 'Free Parking', 'Indoor Seating']",4.3,257,562,0.0,0,Maharashtra,307713,April,2024,Monday,2,0,0,1,0,0
30,1013,62,2023-10-26,3.4,5,1.153830427153121,161,Cancelled,UPI,165,No,No,18697142,Facebook Point,Quick Bites,"Lal Quarter, Govind Nagar, Kanpur, Nandlal Chawraha, Kanpur",Kanpur,Nandlal Chawraha,26.44973603,80.29741332,"Burger, Chinese, North Indian, Rolls, Italian",11 AM to 11:30 PM,400,2,"['Takeaway Available', 'Dinner', 'Delivery', 'No Alcohol Available', 'Cash', 'Lunch', 'Indoor Seating']",4.0,477,36,0.0,1,Uttar Pradesh,240928,October,2023,Thursday,4,0,1,0,0,0
31,2151,15,2024-03-21,2.8,3,10.3240173165236,334,In-Transit,Credit Card,38,No,No,3401629,Kushwah Lassi Corner,Beverage Shop,"Bodla Crossing, Shahganj, Agra",Agra,Shahganj,27.1887523,77.9616578,Beverages,10 AM to 10 PM,100,1,"['Cash', 'Takeaway Available', 'Indoor Seating', 'Digital Payments Accepted']",4.3,119,3,0.0,1,Uttar Pradesh,240928,March,2024,Thursday,1,0,0,0,0,0
32,1739,71,2024-07-10,4.6,3,12.78069435791174,222,Delivered,Debit Card,84,Yes,No,18739328,Deep Punjab Dhaba,Dhaba,"Safed Pul, Sakinaka, Mumbai",Mumbai,Sakinaka,19.10382915,72.88694255,North Indian,5:30 PM to 12 Midnight,400,1,"['Cash', 'Dinner', 'Takeaway Available', 'Indoor Seating']",0.0,2,8,0.0,0,Maharashtra,307713,July,2024,Wednesday,3,1,0,1,0,1739
33,417,66,2023-09-24,3.5,8,3.241678760232598,559,In-Transit,Credit Card,13,Yes,Yes,19115312,Balaji Bhojnalay,Bhojanalya,"Lal Kuwa Polipathar Gwarighat Road, Jabalpur ",Jabalpur,Rampur,23.122156,79.926451,North Indian,11 AM to 11 PM,300,1,"['Dinner', 'Cash', 'Lunch', 'Takeaway Available', 'Indoor Seating']",0.0,0,0,0.0,1,Madhya Pradesh,308245,September,2023,Sunday,3,0,0,1,1,0
34,2797,61,2023-06-06,2.6,1,10.88017494410635,580,Delivered,Debit Card,49,No,Yes,18711897,Bake Brown,Bakery,"Civil Lines Hariom Nagar, Cinema Road, Miyan Baza",Gorakhpur,Miyan Baza,26.74932296,83.37209623,Bakery,10 AM to 11 PM,500,2,"['No Seating Available', 'Takeaway Available', 'Credit Card', 'Debit Card', 'Cash', 'Desserts and Bakes', 'Air Conditioned']",3.9,83,14,0.0,0,Uttar Pradesh,240928,June,2023,Tuesday,2,1,0,0,1,2797
35,484,74,2023-05-17,2.4,2,12.80989482499621,154,Delivered,Credit Card,143,No,Yes,18707725,Vrindavan Restaurant & Food Court,Casual Dining,"Gangotri Nagar, Near Khan Chauraha, Mahewa, Naini, Allahabad",Allahabad,Naini,25.4086647,81.8458499,"North Indian, Mughlai",10 AM to 10:30 PM,450,2,"['Lunch', 'Takeaway Available', 'Cash', 'Breakfast', 'Dinner', 'Indoor Seating', 'Air Conditioned', 'Pure Veg', 'Digital Payments Accepted', 'Table Reservation Not Required']",3.6,27,6,0.0,0,Uttar Pradesh,240928,May,2023,Wednesday,2,1,0,0,1,484
36,2218,63,2024-06-22,1.9,3,2.387987439830383,627,In-Transit,UPI,194,Yes,No,3100431,Bakers Treat,Bakery,"B.J Mathais complex,Mother Teresa Road , Falnir, Mangalore, Hampankatta, Mangalore",Mangalore,Hampankatta,12.86793661,74.84966777,"Arabian, Beverages, Bakery","10am – 10:30pm (Mon-Sat),8:30am – 10:30pm (Sun)",400,2,"['Cash', 'Takeaway Available', 'Breakfast', 'Credit Card', 'Debit Card', 'Indoor Seating', 'Desserts and Bakes', 'Air Conditioned', 'Smoking Area']",4.1,216,420,0.0,0,Karnataka,191791,June,2024,Saturday,2,0,0,1,0,0
37,2693,34,2024-05-20,4.9,8,3.150956299174488,483,Cancelled,Cash,191,Yes,Yes,19102465,New Hyderabadi Biryani,Quick Bites,"5A/5, Panchberia, Paschim Mednipur, Inda, Kharagpur",Kharagpur,Inda,22.347736,87.33408,"North Indian, Chinese",6 AM to 11 PM,200,1,"['Dinner', 'Takeaway Available', 'Lunch', 'Cash', 'Indoor Seating']",0.0,0,0,0.0,0,West Bengal,88752,May,2024,Monday,2,0,1,1,1,0
38,183,42,2023-10-30,3.3,3,14.89705167651921,264,Delivered,Credit Card,178,No,No,18585956,Motu Ke Samose,Quick Bites,"P N B Pawan Tower, Baikunth Nagar, Near Bata Showroom, Sodala, Jaipur",Jaipur,Sodala,26.901605,75.773017,"Street Food, Fast Food",8am – 10pm (Mon-Sun),100,1,"['No Seating Available', 'Cash', 'Takeaway Available', 'Standing Tables', 'Delivery', 'Digital Payments Accepted', 'Desserts and Bakes']",3.7,78,4,0.0,0,Rajasthan,342239,October,2023,Monday,4,1,0,0,0,183
39,1215,47,2023-09-08,4.3,9,12.17082049869704,971,In-Transit,Credit Card,117,Yes,No,2301781,Biryani Hub,Quick Bites,"112/208 A2, Near Khairabad Eye Hospital Swaroop Nagar, Kanpur",Kanpur,Swaroop Nagar,26.481085,80.319727,Biryani,12noon – 11:30pm (Mon-Sun),200,1,"['No Alcohol Available', 'Lunch', 'Cash', 'Takeaway Available', 'No Seating Available', 'Dinner', 'Delivery']",3.6,72,6,0.0,0,Uttar Pradesh,240928,September,2023,Friday,3,0,0,1,0,0
40,1696,26,2024-03-08,2.3,6,10.14774250206695,441,Cancelled,Net Banking,152,No,No,18701152,Chinese Kitchen,Food Court,"Food Court, One Awadh Center, Gomti Nagar, Lucknow",Lucknow,Gomti Nagar,26.86237371,81.01040931,"Chinese, Fast Food, Momos",11 AM to 11 PM,450,2,"['Takeaway Available', 'No Alcohol Available', 'Credit Card', 'Debit Card', 'Dinner', 'Cash', 'Lunch', 'Outdoor Seating', 'Air Conditioned', 'Self Service']",2.5,44,10,0.0,0,Uttar Pradesh,240928,March,2024,Friday,1,0,1,0,0,0
41,2822,23,2023-07-07,2.2,8,12.56074372642863,643,In-Transit,Credit Card,83,No,No,18953231,Sri Sakthi Meenakshi Bhavan,Quick Bites,"Thirupathi, new natham road Madurai, KK Nagar, Madurai",Madurai,KK Nagar,9.955234605,78.12899988,"Chinese, Modern Indian, North Indian, South Indian","Closed (Mon), (Tue-Sat),7:21am – 11pm (Sun)",200,1,"['Delivery', 'Cash', 'Takeaway Available', 'Indoor Seating', 'Pure Veg']",3.1,20,0,0.0,1,Tamil Nadu,130058,July,2023,Friday,3,0,0,0,0,0
42,2737,28,2023-12-11,1.6,1,2.022830668211169,559,Cancelled,Debit Card,163,No,Yes,18480053,Chai Point,Beverage Shop,"MSR Canteen, Administrative Block, MSRIT Post, New BEL Road, Bangalore",Bangalore,New BEL Road,13.028612,77.569792,"Fast Food, Tea",8 AM to 10 PM,250,1,"['No Alcohol Available', 'Delivery', 'Credit Card', 'Cash', 'Takeaway Available', 'Debit Card', 'Outdoor Seating', 'Air Conditioned', 'Indoor Seating']",4.1,113,86,0.0,1,Karnataka,191791,December,2023,Monday,4,0,1,0,1,0
