name,Total_Orders,Revenue,Avg_Order_Value,Avg_Rating
Biryani Blues,5,1524,1492.2,3.5
The J,5,6404,1539.0,2.8
Leon Grill,5,5954,1653.5555555555557,3.922222222222222
Bombay Kulfi,5,1760,1282.3333333333333,2.9333333333333336
Indian Coffee House,5,2008,1717.3333333333333,2.883333333333333
Flurys,5,0,1853.1666666666667,3.6833333333333336
Tunday Kababi,5,0,2178.4444444444443,3.1666666666666665
Punjabi Dhaba,5,2547,2263.5,2.9333333333333336
Cream & Fudge,5,3618,1431.3333333333333,2.0833333333333335
Roll Express,5,5072,1902.875,2.9000000000000004
Dangee Dums,5,995,933.0,3.2199999999999998
Mast Banarasi Paan,5,3542,1402.142857142857,2.5285714285714285
Tea Post,5,5347,1465.5,3.0666666666666664
Chai Point,5,3642,1941.4,2.06
Charcoal Eats Express,5,982,1845.0,4.1
GoGourmet,4,2035,1601.75,3.4749999999999996
Green Crush,4,3132,1541.75,3.0
The Red Box,4,3108,925.0,3.925
Hungry Point,4,10074,2036.5714285714287,2.6571428571428575
Indira Canteen,4,0,1383.0,2.025
Just Bake,4,2119,1779.75,4.2
Kwality Walls,4,0,1030.75,2.2
Bikanervala,4,3179,729.6666666666666,2.9333333333333336
Hotel Saravana Bhavan,4,2162,1335.0,2.314285714285714
Havmor Ice Cream,4,5285,2266.75,2.45
Andhra Mess,4,5083,1430.25,2.475
eat.fit,4,3876,907.4285714285714,3.242857142857143
Wahid Biryani,4,4018,1571.142857142857,2.7714285714285714
Chicking,4,1471,1379.5,2.725
The London Shakes & Cafe,4,0,1275.0,2.55
Icekraft,4,9843,1813.8333333333333,1.8499999999999999
La Chocolate,4,2058,1537.6666666666667,1.3666666666666665
The Dhaba,4,0,1975.4285714285713,3.8428571428571425
Ek Cutting,4,0,2082.75,3.175
Cafe Creme,4,2421,2321.8,4.159999999999999
Krispy Kreme,4,1658,1416.25,2.825
The Coffee Bean & Tea Leaf,4,477,1126.25,1.9
Smokin' Joe's,4,4386,1406.4285714285713,3.0714285714285716
Calcutta Sweets,4,1514,1884.0,2.8
Love & Cheesecake,4,0,1272.75,3.025
Mamagoto,4,5890,1542.75,3.55
The Beer Cafe,4,2861,2060.75,2.725
Al-Beik,4,0,1124.0,3.94
Mithaas,4,2922,1371.1666666666667,2.466666666666667
TOP N TOWN,4,0,1716.75,2.775
Sweet Bengal,4,1897,1492.0,3.5
Padharo Sa,4,558,1396.0,2.783333333333333
RR's Joint,4,0,2261.1666666666665,2.966666666666667
American Grill,4,1361,986.0,2.8499999999999996
Naturals Ice Cream,4,477,1528.75,3.85
Onesta,4,4506,2010.0,2.242857142857143
Oh So Stoned!,4,5857,2512.5,3.0
Naivedyam,4,272,1431.3333333333333,2.9499999999999997
Banaaras,4,1306,744.5,3.05
Mocha,4,3370,1962.125,2.7875
Fresco,4,0,1546.5,3.3499999999999996
Faasos,4,725,1984.0,2.6
Bawarchi,4,2556,1095.4,3.62
London Bubble Co.,4,2189,1917.4,2.4
Marky Momos,4,4474,2167.6,3.12
Dinshaw's,4,356,1226.2,3.02
China Town,4,4284,1835.3333333333333,3.466666666666667
Sangeetha Veg Restaurant,4,0,1621.6666666666667,3.8666666666666667
Vadilal - Hangout,4,5505,1750.25,2.55
Dana Pani Restaurant,4,2270,850.0,2.825
Rolls Mania,4,2081,1002.2,1.8
Dawat Restaurant,4,3723,1577.75,3.775
Pooja Veg Bhojanalay,4,8252,2095.75,2.475
Rasavid,4,8839,1607.0,3.2285714285714286
Avartana - ITC Grand Chola,4,0,1939.5,2.25
BTW,4,1978,1025.5,2.3
Theobroma,4,1528,802.2857142857143,3.0714285714285716
Shree Mithai,4,9118,1672.0,3.175
Burger Point,4,2804,1633.8333333333333,3.1166666666666667
Haribhavanam,3,2907,866.6,2.54
Gupta Brothers Sweets,3,0,2186.6666666666665,3.8666666666666667
Gwalia Sweets,3,2499,1484.6666666666667,3.6333333333333333
Gangaur Pizza Point,3,5078,1961.0,3.766666666666667
HUT - K,3,1196,1581.3333333333333,3.0666666666666664
The Treat,3,1175,1708.0,3.2999999999999994
Hashtag Foods,3,0,2252.3333333333335,3.3000000000000003
Anand Bhavan,3,3457,1540.0,2.3000000000000003
Shiva Fast Food,3,0,1839.6666666666667,3.766666666666667
Shri Mangalam Dhabha,3,1823,1128.6666666666667,4.133333333333333
Chaurasia Pan Plaza,3,0,2227.0,1.7666666666666666
Chawla's,3,12492,2082.0,2.1666666666666665
Butter Chicken Factory,3,0,1083.5,2.3499999999999996
Shakti - The Sandwich Shop,3,2113,2117.3333333333335,3.1999999999999997
Shan-Shaukat,3,2744,1358.6666666666667,3.233333333333333
Anns,3,2125,2412.0,1.6333333333333335
Anand Sweets and Savouries,3,1651,919.3333333333334,3.1999999999999997
Anand Restaurant,3,6018,1691.0,2.8
Citrus Cafe - Lemon Tree Hotel,3,0,2383.0,3.0
Coffee Culture,3,0,1348.0,2.3
Grab N Go,3,2247,1002.3333333333334,3.266666666666667
Thikana,3,1206,1008.0,3.1666666666666665
Toral Food Zone,3,0,1409.0,3.4333333333333336
Shake Square,3,1177,1500.6666666666667,2.733333333333333
Chowdhry Sweet House,3,0,957.0,2.2333333333333334
Chime - Sheraton Grand Bengaluru Whitefield Hotel & Convention Centre,3,325,1423.3333333333333,2.4333333333333336
Chili's American Grill & Bar,3,0,1109.0,2.4499999999999997
Cakes & Bakes,3,694,1645.0,2.033333333333333
Woodlands Restaurant,3,0,2411.0,3.8333333333333335
AR Vellore Biryani,3,2260,753.3333333333334,2.6666666666666665
The Coffee Shop,3,2121,1432.0,2.733333333333333
The French Connection Cake Shop,3,13304,2217.3333333333335,3.0
Leelavathi Deluxe Mess,3,2739,1244.0,4.133333333333334
Bharkadevi Ice Cream,3,651,1497.3333333333333,1.6666666666666667
La Pinoz Pizza,3,7176,1596.4,3.04
Lassi House,3,896,1763.6666666666667,3.6333333333333333
Bharawan Da Dhaba,3,3222,1485.0,3.525
Kwality Wall's Swirl's,3,1523,1919.3333333333333,3.033333333333333
Khana Khazana,3,0,1327.0,3.1
Afters Bake House,3,844,932.3333333333334,3.133333333333333
The Irish House,3,3851,1283.6666666666667,3.8333333333333335
Agarwal Dairy And Sweet,3,1621,1403.6666666666667,4.066666666666666
Agent Jack's Bar,3,1877,813.6666666666666,2.6666666666666665
Krishna Restaurant,3,0,1606.6666666666667,3.6999999999999997
Kulfi House,3,4534,2397.2,2.56
Kareem's Chinese,3,1716,953.0,2.733333333333333
Kef Lounge,3,17824,1727.6666666666667,3.3000000000000003
Kesharwani Misthaan Bhandar,3,1162,1513.3333333333333,3.0666666666666664
Khanabadosh,3,0,922.6666666666666,4.1000000000000005
Jughead's,3,4269,2201.0,2.733333333333333
Bittu Juice Corner,3,0,874.6666666666666,1.8333333333333333
Blind Ch3mistry,3,0,1212.75,2.55
Jassi De Parathe,3,5334,1650.2,3.0
Juice Forest,3,5408,1797.6666666666667,1.7666666666666666
Just Baked,3,2804,2202.3333333333335,3.3000000000000003
KFC Zaika,3,0,1858.0,2.566666666666667
Biryani House,3,5936,2175.0,2.55
The Noodle Story,3,0,1112.3333333333333,3.9
The Penalty Box,3,5928,1800.3333333333333,2.8666666666666667
KS Bakers,3,2150,1266.3333333333333,3.1
Kabhi B,3,2463,1391.0,3.0
Honest,3,4568,2064.6666666666665,2.733333333333333
Brij Sweets,3,0,2000.6666666666667,4.133333333333334
Hotel Sai Food Court Family Restaurant,3,1818,479.6666666666667,2.3000000000000003
Boomerang,3,277,437.0,2.9333333333333336
Joker's Kitchen,3,9728,1621.3333333333333,2.033333333333333
The Shake Maker,3,3732,1979.3333333333333,2.4
The Shake's Adda,3,398,966.6666666666666,3.4333333333333336
Ice Cream Factory & Shahi Durbar,3,6247,1249.4,2.94
Wraps & Rolls,3,0,745.75,3.875
Mahesh Lunch Home,3,2654,1872.0,4.333333333333333
Delhi Darbar,3,0,2236.6666666666665,3.9333333333333336
Food Lover,3,0,1758.3333333333333,2.2333333333333334
Tharayil Kitchen,3,5964,1873.3333333333333,3.4
Mad Over Chicken,3,2154,919.8,3.0799999999999996
Dhaba Cafe,3,0,1042.25,3.05
99 Pancakes,3,0,1946.6666666666667,3.1333333333333333
Marrakesh,3,0,2176.6666666666665,2.2333333333333334
Eden,3,3118,1895.6666666666667,4.1000000000000005
Drink n Dream,3,5003,2269.3333333333335,2.966666666666667
Drinx Exchange,3,2612,2012.0,1.9666666666666668
Dinshaw's Exclusive Ice Cream Parlour,3,0,1240.3333333333333,3.233333333333333
Desi Tadka,3,1479,1273.4,3.8199999999999994
Alam Grilled Wraps,3,5749,1572.75,2.325
Best Bakery,3,0,1724.6666666666667,2.533333333333333
The Burger Street,3,4128,2059.6666666666665,3.1999999999999997
The Burger Junction,3,0,1462.6,2.58
Frontier,3,2960,2740.3333333333335,2.2666666666666666
Food Adda,3,1034,1085.3333333333333,2.8666666666666667
Food Factory,3,716,1628.6666666666667,3.1
Fat Lulu's Cafe & Bar,3,2239,1436.3333333333333,2.6999999999999997
Falahaar,3,6185,2017.25,3.925
Trishna,3,280,543.6666666666666,2.0
New Freeze Land,3,3660,1828.0,2.8666666666666667
New Shanthi Sagar,3,0,1821.3333333333333,2.9333333333333336
Tandoor,3,2864,1640.0,4.05
Taste Drive,3,328,840.6666666666666,3.1333333333333333
Tea Trails,3,602,525.6,2.32
Moti Mahal Deluxe,3,5254,1643.8,1.6
Mr & Mrs Idly,3,373,1786.0,2.9333333333333336
My Choice,3,0,1544.0,3.233333333333333
Taste Of Street,3,5040,1257.0,4.3999999999999995
The Bar Stock Exchange,3,3683,1687.0,3.6999999999999997
Melange - Radisson Blu,3,0,1722.6666666666667,4.466666666666666
Melting Moments,3,297,1455.6666666666667,3.1
Mira Republic,3,0,1731.6666666666667,2.566666666666667
Milan Kachori Bhandar,3,887,543.0,3.5
Mom's Kitchen,3,562,685.3333333333334,2.266666666666667
Amantran,3,1897,1803.0,3.4499999999999997
Tease Bar,3,1610,965.0,2.733333333333333
Tewari Bros. Mithaiwala,3,4342,927.0,2.9333333333333336
Tempteys,3,1850,889.6,3.1
Ambrosia,3,0,2140.6666666666665,2.8333333333333335
Suzette Creperie & Cafe,3,416,689.0,2.6999999999999997
Rahat Darbar,3,1133,1997.0,3.033333333333333
Raj Restaurant,3,1666,2039.0,3.0
Petoo,3,613,1772.3333333333333,3.3333333333333335
Potpourri,3,4802,1408.5,2.225
Pizza Galleria,3,4342,2514.0,4.033333333333333
Baba Dhaba,3,828,660.0,3.8333333333333335
Baba Chicken,3,4504,1739.75,1.9249999999999998
Street Kitchen,3,948,2194.5,3.0999999999999996
Oye Punjabi,3,1201,2127.0,3.1666666666666665
Oye Pappe,3,283,980.3333333333334,2.4333333333333336
Bageecha,3,2465,1983.0,3.5666666666666664
Creamist,3,1497,582.0,3.6666666666666665
Coffee Cup,3,914,799.0,4.0
Riddhi Siddhi,3,0,1641.6666666666667,2.4
Republic of Chicken,3,824,1198.6666666666667,2.566666666666667
Red Chilli Restaurant,3,0,1111.25,3.3
Republic Of Chicken,3,1179,1208.6666666666667,2.8666666666666667
Rasikas Restaurant,3,1500,906.6666666666666,2.966666666666667
Ramesh Masala Dosa,3,0,1829.0,2.6666666666666665
Punjabi Tadka,3,0,1061.3333333333333,2.6
Danaram Bakers and Fast food,3,0,1486.6666666666667,2.1333333333333333
Crunch Pizzas,3,1188,1823.3333333333333,2.3666666666666667
Dawat,3,0,2317.0,3.1
Riyas Mahal,3,0,1554.6666666666667,3.5
Cafe Zero,3,10752,1514.6666666666667,1.4000000000000001
Vilakkuthoon Hanifa Jigarthanda,3,2174,724.6666666666666,1.7666666666666668
Crossroads,3,2752,2473.3333333333335,3.3333333333333335
Royal recepies,3,1119,1357.3333333333333,3.233333333333333
Royal Sandwich Shop,3,5618,1840.3333333333333,3.266666666666667
Rooh Burger Cafe,3,2985,2430.25,3.575
Society Bar & Restaurant,3,0,2072.0,2.6666666666666665
Sri Bavani Tiffen center,3,4420,1586.6666666666667,3.3000000000000003
Sai Panchavati Pav Bhaji and Pulav Center,3,6076,1493.6666666666667,1.8666666666666665
Spice Restaurant By Hotel Malisca,3,0,2448.0,3.966666666666667
Sodhani Sweets Pvt. Ltd.,3,0,1730.6666666666667,3.733333333333333
Saravana Bhavan,3,0,394.0,3.7
Sam's Pizza,3,1432,1046.0,3.1
Wat-a-Biryani,3,3814,1500.25,2.9
Chhaswala,3,2557,1047.0,2.025
Chacha Hotel,3,2317,1337.6666666666667,3.0
Chai Kaapi,3,958,1494.8,2.2399999999999998
Chai Peeni Hai,3,0,1746.0,3.6333333333333333
Z Bakers,3,0,1849.75,3.9
Chick N Chilly,2,0,318.5,2.6999999999999997
Cakeddiction,2,0,2406.5,3.3000000000000003
Cakes N More,2,0,656.5,2.95
72s,2,3368,1603.3333333333333,2.8000000000000003
WAFL Cafe,2,0,1358.5,2.0
WAFL Café,2,758,1623.0,2.45
WFO's Pizza,2,1481,1877.5,1.7999999999999998
Waari Book Cafe,2,0,1369.0,4.25
Waffle House,2,0,1348.0,2.9
Waffle Junction,2,2957,2949.5,1.5
Wafflesome,2,1602,2005.5,4.0
Yaa Mohaideen Briyani,2,3276,1246.0,3.7
test Joshipura,2,2827,2647.0,2.55
Central Perk,2,0,1868.5,3.05
Capital Social,2,0,578.5,2.85
Chicken Haat,2,1040,1553.0,1.65
Signature Family Resto & Bar,2,1893,1684.5,3.35
Siliguri Club,2,1078,842.0,3.6999999999999997
Silver Spoon,2,0,2357.6666666666665,2.9
Simple Lounge & Family Restaurant,2,0,1789.0,3.2
Sindh Kitchen,2,0,2064.0,3.55
Sista's Kitchen,2,2724,2222.5,2.8499999999999996
Sizzling China,2,2701,2053.5,3.25
Andhra Mirchi,2,0,1880.5,3.45
Andhra Ruchulu,2,2047,914.3333333333334,3.1333333333333333
Angeethi,2,0,1291.5,2.5
Angeethi Restaurant,2,3890,1672.5,2.8
Canvas Laugh Club,2,970,1189.0,2.9
Charley's Cafe,2,892,1461.0,1.85
Chaurasia Brothers,2,0,1963.5,2.6
Cheesiaano Pizza,2,2844,2414.0,4.05
Chennai Kulfi,2,927,457.0,4.633333333333334
Shree Anandhaas Sweets & Snacks,2,2341,1170.5,4.25
Shree Balaji Bhojnalaya,2,4314,2104.0,2.4333333333333336
Shree Gajanan Canteen,2,0,1810.5,2.3
Shree Krishna Restaurant,2,1640,820.0,3.25
Shree Lekhana Dosa Camp,2,1320,1186.0,2.75
Shree Rajbhog,2,3554,1652.0,3.8
Shree Shyam Lassi Wala,2,2345,1314.5,2.25
Shree Tadka Veg Restaurant,2,2609,2786.5,2.75
Shreeji Dhosa & Fast Food,2,0,1911.5,2.45
Shri Godhuli Dabeli Centre,2,1070,683.0,2.35
Shri Ram Namkeen & Sweets,2,1287,1134.0,2.95
Anjali Sweet,2,664,1817.5,1.65
Anjappar Chettinad Restaurant,2,682,1016.5,2.55
Shri Sunil Sweets,2,0,2402.0,3.5999999999999996
Shyama Sweets,2,0,917.0,3.7
Sibang Bakery,2,0,295.0,1.75
Sharma Namkeen Mithaiyan,2,1017,1653.5,1.75
Sharma Sweets,2,2269,2603.5,3.35
Sharma Tea,2,2750,1655.5,1.75
Sheetal Hotel And Restaurant,2,0,1790.0,3.9
Shena Sizzlear,2,2541,2576.0,3.2
Sher-E-Punjab,2,1302,1517.5,3.8499999999999996
Shere Punjab Restaurant,2,0,2028.6666666666667,1.4666666666666668
Shimla Juice Center,2,0,1815.0,3.65
Shiraz Multicuisine Restaurant,2,0,2671.5,3.4000000000000004
Shiv Sagar,2,3733,1866.5,4.1
Shivhare Gajak Sweets Namkeen Bhandar,2,2595,1297.5,1.7999999999999998
Annapurna Bhojanalya,2,1398,622.0,1.7666666666666666
Annapurna Mess,2,2036,1599.0,3.15
Annkoot- Family Veg Restaurant,2,4706,2259.0,3.0999999999999996
Shobi's Chicken Biryani Center,2,0,1806.5,2.55
Shree Anandhaas,2,0,1560.0,3.733333333333333
Shankar Samosa,2,0,1455.0,2.4
Shankar's Chaat,2,0,1373.0,3.3
Anu Mess,2,2504,1252.0,2.25
Anurag Bhojanalya,2,0,1193.0,2.05
Slice of Lime,2,1340,1056.5,4.800000000000001
Slounge,2,0,1394.5,2.65
Slounge - Lemon Tree Hotel,2,1009,1753.0,3.3666666666666667
Slounge - Lemon Tree Premier,2,838,1734.5,4.45
Smoke Shack - ​Radisson Kolkata,2,4941,2470.5,3.05
Smoky Sports Lounge,2,2491,1245.5,1.95
Smoor,2,1754,2264.6666666666665,2.1333333333333333
Snack Time,2,1092,1737.0,2.9
Anaicha's Food Joint,2,0,1377.5,2.35
Anand Juice,2,1679,1363.0,3.0
Snowfield Pav Bhaji,2,1664,1248.5,1.75
Sharma Ji Ki Hotel,2,1723,1951.5,4.2
Saurabh Restaurant,2,8008,1516.5,1.55
Seagull - Taj Fisherman's Cove Resort & Spa,2,0,2121.0,2.35
Second House Restaurant,2,0,2709.5,3.05
Sengupta's,2,0,954.5,2.75
Senso - The Imperial Palace,2,0,1279.5,2.4000000000000004
Sentosa Highway,2,0,1082.0,4.1
Apna Bhojnalaya,2,0,1694.5,2.45
Apsara Ice Creams,2,0,1356.0,2.4000000000000004
Apsara Restaurant,2,0,1515.0,4.35
Shaan E Awadh,2,0,2340.5,2.4
Shabana's Bakery & Cafe,2,2977,2528.0,2.1
Shahenaz,2,0,876.5,2.85
Shahi Darbar,2,5720,2323.0,4.3
Shakers,2,6468,1617.0,2.8
Shalimar,2,696,504.5,3.45
Shankar Bakery,2,0,1917.0,2.55
Samocha- Stories Around Chai,2,0,1436.5,4.3
Sandwichwala And Juice,2,565,1346.5,2.1500000000000004
Sanjari Restaurant,2,2090,1544.5,3.85
Sanjay Vadapav Stall,2,0,1217.5,2.7
Sanjha Chulah,2,1056,1427.5,2.0999999999999996
Sanjha Chulha,2,0,1460.0,2.7
Sanjivani Cakes & Confectionery,2,1850,1134.5,1.15
Sankalp,2,0,1817.5,2.6
Sankranti,2,0,1448.0,2.0
Aqua - The Park,2,658,344.6666666666667,3.133333333333333
Sarang Bandhu,2,1497,748.5,2.8
Saras Parlour,2,4214,2107.0,1.7
Sardar Dhaba,2,1524,1865.5,3.55
Sardar-Ji-Bakhsh Coffee & Co.,2,2609,1449.5,4.35
Sarvanand Juice & Shakes,2,329,1042.0,3.8000000000000003
Sarvodaya Ice Creams,2,0,2207.0,2.45
Sadanand,2,335,1300.5,3.25
Sadda Adda -The Express Food,2,0,2262.0,2.75
Sagar Amritsari Kulche Chhole,2,2590,2123.0,2.9000000000000004
Sagar Gaire Fast Food,2,0,1959.5,3.6500000000000004
Sagar Restaurant,2,0,2048.5,3.6500000000000004
Sagar Sweets,2,0,1483.0,1.3
Sahani Restaurant,2,400,1236.5,2.6
Sai Manohar,2,0,1141.0,3.35
Sai Prasad,2,1138,708.0,2.2333333333333334
Sai Puri Wale,2,2921,2449.5,3.4000000000000004
Saify Hotel,2,0,846.0,4.75
Salem RR Biriyani,2,2844,1914.5,4.0
Salem Settu Kadai,2,0,1058.0,3.2
Saluja Quality Corner,2,1934,1316.5,2.9
Sambookas,2,3904,1952.0,3.85
Sammy Sosa,2,2502,2732.0,4.233333333333333
SOI - The Asian Street Kitchen,2,2777,1488.0,3.0
SORA - Hotel Clarks Amer,2,2611,1405.5,2.05
So Bar Away,2,3372,2043.5,3.8
Sobo Belly,2,1384,1969.0,1.9
Southern Spice,2,0,853.0,2.8499999999999996
Spice Culture,2,0,2033.0,2.55
Spice N Cream,2,853,1835.5,2.6500000000000004
Square 36,2,0,1537.5,3.05
Sree Bajrang Sweets,2,0,500.0,4.1
Sree Subbu Mess,2,1687,2050.5,2.9
Sri Anjaneya Restaurant,2,0,2034.6666666666667,2.9
Sri Bombay Badam Milk And Lassy Centre,2,1290,1730.0,2.7
Sri Krishna Bhel Puri House,2,0,1161.5,2.95
Amritsari Chole Bhature,2,3304,1859.3333333333333,3.6333333333333333
SRM Chettinad Hotel,2,2518,629.5,3.4499999999999997
Sachin Ka Dhabba,2,0,1360.5,2.25
Refuel 365,2,2136,1685.0,2.75
Regal Restaurant,2,0,1863.5,1.95
Relax Goti Sosa,2,2722,1000.0,2.5999999999999996
Retreat,2,0,1987.3333333333333,3.9000000000000004
Rising Bowl,2,0,248.5,4.5
Roll House,2,1796,1517.5,1.5
Roomali Garh,2,0,2301.0,2.85
Rose Cafe,2,1504,1800.0,1.7
Rosewater,2,582,789.0,4.5
Royal Dhodha Sweets,2,756,1425.0,4.4
Royal Dish Food Corner,2,0,2197.0,1.4
Royal Firdous,2,1915,1085.0,2.55
Royal Spice,2,4691,2345.5,1.4
Ruchi Tiffin Center,2,487,1383.5,1.9
Rumours Restaurant And Lounge,2,0,2452.0,3.25
SFC Plus,2,0,1615.5,3.8499999999999996
Rajasthan Sweets & Restaurant,2,2259,1917.0,4.15
Rajesh Sweets,2,0,1503.5,1.7000000000000002
Rajwadi,2,4998,1598.0,2.15
Ram Babu Parathe Wale,2,3814,1902.0,2.45
Ram Prasad Chat Wala,2,2578,1822.0,3.7
Ramesh Kulfi,2,5123,2561.5,4.9
Rangla Punjab The Dhaba,2,0,1548.5,2.05
Rasam - Hotel Vijayshree Deluxe,2,2533,2588.5,4.7
Rasna Sweets,2,2869,2928.5,4.3
Rasoi Bhojanalaya and Caterers,2,4333,2166.5,2.1
Ashoka Bakery,2,0,1513.0,3.8
Ashoka's Veg Restaurant,2,5220,2132.5,2.05
Asia Kitchen by Mainland China,2,0,2410.5,4.3
Asian Wok,2,1884,1952.5,3.05
Rathna Cafe,2,448,559.5,2.9499999999999997
Real Paprika,2,1324,936.0,2.4
Assal Larilappa,2,0,1472.0,2.75
Asvah 24,2,0,1014.0,3.35
Amritsari Kulcha Hut,2,0,543.5,3.95
Sri Krishna Sweets House,2,309,1654.0,3.55
Sri Naivedyam,2,1878,1834.0,2.35
Sri Rajalakshmi Sweets,2,1237,1860.0,2.6
Sri Rama Chandra Students Mess,2,0,428.5,3.55
Stamping Ground,2,1126,977.5,3.0999999999999996
Star Chilli,2,2301,2398.5,1.9000000000000001
Step Up Cafe & Bistro,2,1729,2164.5,3.0
Amigos Restaurant,2,0,1594.0,2.05
Ammu's Bakery,2,0,1442.5,3.6999999999999997
Amrit Dhaba,2,1975,2422.5,1.85
Amrit Sweet House,2,0,2034.0,2.8
Stoned Monkey,2,0,1434.5,4.800000000000001
Rajasthan Sweets,2,1193,1386.0,1.6500000000000001
Puja Sweets,2,0,2243.5,2.75
Punjabi Chicken Mangu Chicken,2,0,555.5,2.95
Punjabi Food Factory,2,2753,1698.5,1.85
Punjabi Tandoor,2,0,2534.0,2.75
Pupkins Kitchen,2,2124,1286.0,2.8499999999999996
Quality Point,2,1509,1846.0,4.6
Atul Ice Cream,2,0,938.0,1.85
RR Durbar,2,1809,781.6666666666666,3.5
Raasta,2,1230,1212.0,4.25
Radiation Bar,2,922,633.0,3.1500000000000004
Ragala Punjabi Dhaba,2,836,1479.0,1.75
Rainforest Bar - Hotel Gateway Grandeur,2,1517,871.5,4.15
Raj Kamal Veg Restaurant,2,1304,1184.0,3.3499999999999996
Raj Palace,2,2500,1250.0,3.55
Raj Thali,2,4744,1695.0,3.45
Rajasthan Confectioners,2,1771,2185.5,2.15
Pinch Of Spice,2,1122,1261.3333333333333,2.3666666666666667
Pirates of Grill,2,174,1301.0,1.75
Pizza Italia,2,2567,1405.5,2.8499999999999996
Pizzaah! District,2,6058,1514.5,3.55
Platoon Pizza,2,7987,2662.3333333333335,3.233333333333333
Poetry by Love and Cheesecake,2,11762,2940.5,1.75
Poha Point,2,2031,1432.0,2.7
Polka Pastry Shop,2,1500,839.5,3.85
Awaany Bakers,2,0,497.5,4.3
Ayaz's The Kebab Place,2,2968,2772.5,3.3
B Bhagat Tarachand,2,4080,2280.5,4.550000000000001
Popos Highlight,2,201,758.5,3.2
Prayagraj Restaurant,2,2912,1456.0,2.3
Prima's,2,740,1040.0,2.75
Prive Restaurant,2,0,2355.0,2.35
Puffs 'n' Rolls,2,313,1227.6666666666667,1.4666666666666668
